text,label,priority
pickpocketing incidents in crowded market,Police/Traffic,Medium
fire in dense residential area threatening multiple buildings,Fire,High
minor water pipe repair needed at street corner,Water,Low
sanitation training program for food vendors,Health Department,Low
fire equipment maintenance and inspection due,Fire,Low
broken water tap wasting precious water resource,Water,Medium
road needs regular maintenance and sweeping,PWD,Low
paint fading on electrical pole,Electricity,Low
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
manhole cover missing creating dangerous pit,PWD,High
paint fading on electrical pole,Electricity,Low
tree branches hanging dangerously near road,Municipality,Medium
Reported: contaminated water supply causing health issues,Water,High
"garbage not collected for several days, piling up",Municipality,Medium
short circuit in street light causing fire risk,Electricity,High
broken water tap wasting precious water resource,Water,Medium
fire exit door needs repair in office,Fire,Low
electric pole fallen and live wires on ground floor,Electricity,High
fire in dense residential area threatening multiple buildings,Fire,High
Reported: dangerous high voltage transformer sparking dangerously,Electricity,High
health hazard due to animals & insects present nearby,Health Department,Medium
Reported: fire in dense residential area threatening multiple buildings,Fire,High
illegal construction on public land,Municipality,High
mosquito breeding requiring immediate pest control action,Health Department,Medium
water pressure very low in residential area,Water,Medium
stolen two wheeler reported in the area,Police/Traffic,Medium
frequent power tripping affecting daily operations,Electricity,Medium
routine park maintenance and beautification required Please take action,Municipality,Low
gas cylinder blast in residential building,Fire,High
park fence requires minor repair and maintenance,Municipality,Low
"bridge foundation showing cracks, structural integrity at risk",PWD,High
park encroachment by unauthorized vendors,Municipality,Medium
water tap handle broken needs fixing,Water,Low
traffic signal light needs cleaning from dust,Police/Traffic,Low
Reported: explosion near petrol pump causing severe damage,Fire,High
minor water pipe repair needed at street corner,Water,Low
fire hazard condition needing urgent attention and inspection,Fire,Medium
building on fire with people trapped inside,Fire,High
reckless drunk driver causing accidents on highway,Police/Traffic,High
Reported: dustbin needs replacement in area,Municipality,Low
major pothole on main road causing accidents & vehicle damage,PWD,High
Reported: water supply intermittent requiring urgent action,Water,Medium
"vehicle theft reported, urgent investigation needed",Police/Traffic,High
routine fire safety equipment maintenance needed,Fire,Low
old water line needs replacement soon,Water,Low
routine fire safety equipment maintenance needed,Fire,Low
routine park maintenance and beautification required,Municipality,Low
critical road damage causing traffic accident risk,PWD,High
"light pole slightly tilted, requires straightening",Electricity,Low
parking space marking requires clarification,Police/Traffic,Low
malaria cases reported in residential area Please take action,Health Department,Medium
Reported: street light not working on main road for 3 weeks,Electricity,Medium
dangerous high voltage transformer sparking dangerously,Electricity,High
Reported: pest infestation near food storage area,Health Department,Medium
road needs regular maintenance & sweeping,PWD,Low
"Reported: dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
"road marking faded, lines need repainting",Police/Traffic,Low
dangerous high voltage transformer sparking dangerously,Electricity,High
public area beautification needed,Municipality,Low
critical disease outbreak requiring emergency response,Health Department,High
severe garbage accumulation causing environmental and health emergency,Municipality,High
major pothole on main road causing accidents and vehicle damage,PWD,High
tree branches need pruning for maintenance,Municipality,Low
routine health facility maintenance required,Health Department,Low
traffic sign damaged needs replacement,Police/Traffic,Low
fire extinguisher not available in government building,Fire,Medium
pest control needed for rat infestation urgently,Health Department,Medium
health hazard due to animals & insects present nearby,Health Department,Medium
traffic accident with fatality near school,Police/Traffic,High
Reported: accident scene without proper barricading setup,Police/Traffic,Medium
live wire hanging near the main road causing electric shock hazard,Electricity,High
tree branches hanging dangerously near road,Municipality,Medium
Reported: traffic sign damaged needs replacement,Police/Traffic,Low
water tap handle broken needs fixing,Water,Low
park fence needs minor repair & maintenance,Municipality,Low
Reported: severe subsidence on road near government building,PWD,High
water tank maintenance not done for months,Water,Medium
"dead bird spreading disease, immediate disposal required",Health Department,High
tree branches need pruning for maintenance,Municipality,Low
routine road marking and sign maintenance,PWD,Low
gas cylinder blast in residential building,Fire,High
building on fire with people trapped inside,Fire,High
road needs repainting of lane markings Please take action,PWD,Low
public area beautification needed,Municipality,Low
vehicle collision on road needing intervention,Police/Traffic,Medium
tree branches hanging dangerously near road,Municipality,Medium
"assault case reported, victim in critical condition",Police/Traffic,High
pickpocketing incidents in crowded market,Police/Traffic,Medium
Reported: short circuit in street light causing fire risk,Electricity,High
critical road damage causing traffic accident risk,PWD,High
rash driving near school affecting student safety Please take action,Police/Traffic,Medium
asphalt patch needed on side street Please take action,PWD,Low
explosion near petrol pump causing severe damage,Fire,High
Reported: short circuit in street light causing fire risk,Electricity,High
health center needs routine inspection & maintenance,Health Department,Low
waste accumulation needing urgent collection and disposal Please take action,Municipality,Medium
critical fire emergency requiring immediate response,Fire,High
accident scene without proper barricading setup,Police/Traffic,Medium
routine traffic sign maintenance required,Police/Traffic,Low
fire exit door needs repair in office Please take action,Fire,Low
drainage pipe choked causing water accumulation,Water,Medium
power supply irregular & unstable in area,Electricity,Medium
traffic sign damaged needs replacement,Police/Traffic,Low
Reported: severe pothole hazard causing vehicle damage and accidents,PWD,High
road requires regular maintenance and sweeping,PWD,Low
accident with multiple injuries and vehicles involved,Police/Traffic,High
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
traffic sign damaged requires replacement,Police/Traffic,Low
damaged transformer needs urgent maintenance and fixing,Electricity,Medium
stagnant water accumulating due to pipe blockage,Water,Medium
clinic needs equipment calibration,Health Department,Low
contaminated water supply causing health issues Please take action,Water,High
health center needs routine inspection and maintenance,Health Department,Low
stolen two wheeler reported in the area,Police/Traffic,Medium
stagnant water accumulating due to pipe blockage,Water,Medium
Reported: water supply stopped for more than 48 hours,Water,High
paint fading on electrical pole,Electricity,Low
electrical wire partially damaged needs immediate repair Please take action,Electricity,Medium
minor pothole needs filling in residential street,PWD,Low
traffic accident with fatality near school Please take action,Police/Traffic,High
traffic accident with fatality near school,Police/Traffic,High
water tap handle broken needs fixing,Water,Low
water pipe leakage on street resulting in water waste,Water,Medium
park bench needs repainting and repair,Municipality,Low
Reported: routine health facility maintenance required,Health Department,Low
loose connection at transformer causing sparks intermittently,Electricity,Medium
major pothole on main road causing accidents and vehicle damage,PWD,High
routine water maintenance scheduled,Water,Low
water tank maintenance not done for months Please take action,Water,Medium
severe food contamination causing widespread illness urgently,Health Department,High
"bridge foundation showing cracks, structural integrity at risk",PWD,High
pothole appearing on main street needs quick attention,PWD,Medium
Reported: chemical fire in warehouse area,Fire,High
park grass needs regular cutting and maintenance,Municipality,Low
minor water pipe repair needed at street corner,Water,Low
stray dogs roaming creating nuisance and safety hazard Please take action,Health Department,Medium
routine fire safety equipment maintenance needed,Fire,Low
minor water pipe repair needed at street corner,Water,Low
park bench needs repainting and repair Please take action,Municipality,Low
water tank needs paint refreshing,Water,Low
emergency road collapse threatening public safety,PWD,High
severe subsidence on road near government building Please take action,PWD,High
emergency fire situation with potential casualties Please take action,Fire,High
water leakage from main pipeline affecting entire neighborhood,Water,High
manhole cover missing creating dangerous pit,PWD,High
emergency light needs battery replacement,Fire,Low
fire safety signage needs replacement in mall,Fire,Low
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
pothole appearing on main street needs quick attention Please take action,PWD,Medium
sewage treatment plant overflow causing environmental damage Please take action,Municipality,High
electrical burning smell in residential complex,Fire,Medium
severe food contamination causing widespread illness urgently Please take action,Health Department,High
road completely damaged affecting vehicle movement,PWD,High
park bench needs repainting and repair,Municipality,Low
molestation incident reported by female citizen,Police/Traffic,High
Reported: critical disease outbreak requiring emergency response,Health Department,High
road needs repainting of lane markings,PWD,Low
public toilet not functioning for community,Municipality,Medium
health hazard due to animals and insects present nearby,Health Department,Medium
emergency road collapse threatening public safety,PWD,High
electrical burning smell in residential complex,Fire,Medium
routine light repair & maintenance needed,Electricity,Low
road completely damaged affecting vehicle movement,PWD,High
routine light repair & maintenance needed,Electricity,Low
emergency light needs battery replacement Please take action,Fire,Low
water tank needs paint refreshing,Water,Low
routine road marking & sign maintenance,PWD,Low
waste accumulation needing urgent collection and disposal,Municipality,Medium
emergency road collapse threatening public safety Please take action,PWD,High
damaged road surface needing immediate patching and repair,PWD,Medium
clinic requires equipment calibration,Health Department,Low
potential fire risk due to electrical issue detected,Fire,Medium
contaminated water supply causing health issues,Water,High
broken water tap wasting precious water resource,Water,Medium
tree branches need pruning for maintenance,Municipality,Low
chemical fire in warehouse area,Fire,High
minor electrical maintenance required,Electricity,Low
emergency fire situation with potential casualties,Fire,High
public area beautification needed Please take action,Municipality,Low
short circuit in street light causing fire risk,Electricity,High
health awareness poster placement needed,Health Department,Low
Reported: food stall operating without proper hygiene license,Health Department,Medium
water leakage from main pipeline affecting entire neighborhood Please take action,Water,High
Reported: drainage pipe choked causing water accumulation,Water,Medium
routine traffic sign maintenance required,Police/Traffic,Low
Reported: street divider damaged after vehicle collision,PWD,Medium
stolen two wheeler reported in the area Please take action,Police/Traffic,Medium
Reported: clinic needs equipment calibration,Health Department,Low
encroachment issue needing removal and enforcement action,Municipality,Medium
water leakage from main pipeline affecting entire neighborhood,Water,High
Reported: asphalt patch needed on side street,PWD,Low
"stray dogs attacking people in area, urgent animal control needed Please take action",Health Department,High
"road marking faded, lines need repainting",Police/Traffic,Low
road completely damaged affecting vehicle movement,PWD,High
dangling wires on telephone poles creating hazard,Electricity,Medium
critical fire emergency requiring immediate response,Fire,High
Reported: routine fire safety equipment maintenance needed,Fire,Low
emergency health hazard affecting multiple people,Health Department,High
park grass requires regular cutting and maintenance,Municipality,Low
water meter needs servicing and calibration,Water,Low
short circuit in street light causing fire risk,Electricity,High
emergency electrical hazard causing immediate danger,Electricity,High
Reported: water leakage from main pipeline affecting entire neighborhood,Water,High
broken water tap wasting precious water resource,Water,Medium
fire safety training needed for staff,Fire,Low
street cleaning not done for weeks Please take action,Municipality,Medium
"vehicle thisft reported, urgent investigation needed",Police/Traffic,High
food stall operating without proper hygiene license,Health Department,Medium
"water supply irregular, only few hours daily",Water,Medium
chemical fire in warehouse area,Fire,High
potential fire risk due to electrical issue detected,Fire,Medium
park encroachment by unauthorized vendors,Municipality,Medium
molestation incident reported by female citizen Please take action,Police/Traffic,High
park encroachment by unauthorized vendors,Municipality,Medium
"Reported: dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
vector-borne disease indication requiring intervention and control,Health Department,Medium
concrete pavement crumbling near market,PWD,Medium
routine water maintenance scheduled,Water,Low
frequent power tripping affecting daily operations,Electricity,Medium
malaria cases reported in residential area,Health Department,Medium
emergency sewage overflow creating hazardous condition Please take action,Water,High
chemical fire in warehouse area,Fire,High
Reported: emergency encroachment blocking essential services and access,Municipality,High
burning smell indicating possible fire risk in building,Fire,Medium
manhole cover missing creating dangerous pit,PWD,High
street divider damaged after vehicle collision,PWD,Medium
overflowing dustbin on street creating smell,Municipality,Medium
pharmacy selling expired medicines illegally,Health Department,Medium
road completely damaged affecting vehicle movement Please take action,PWD,High
garbage accumulation causing disease outbreak,Municipality,High
emergency road collapse threatening public safety,PWD,High
critical crime incident requiring immediate response,Police/Traffic,High
stray dogs roaming creating nuisance and safety hazard Please take action,Health Department,Medium
tree branches need pruning for maintenance,Municipality,Low
minor pothole needs filling in residential street,PWD,Low
fire alarm system not working in hospital Please take action,Fire,Medium
severe garbage accumulation causing environmental and health emergency,Municipality,High
overflowing dustbin on street creating smell,Municipality,Medium
minor water pipe repair needed at street corner,Water,Low
reckless drunk driver causing accidents on highway,Police/Traffic,High
live wire hanging near this main road causing electric shock hazard,Electricity,High
fire equipment maintenance and inspection due,Fire,Low
road needs repainting of lane markings,PWD,Low
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
molestation incident reported by female citizen Please take action,Police/Traffic,High
road needs repainting of lane markings,PWD,Low
"stray dogs attacking people in locality, immediate animal control needed",Health Department,High
Reported: dustbin needs replacement in area,Municipality,Low
gas cylinder blast in residential building,Fire,High
malaria cases reported in residential area,Health Department,Medium
"garbage not collected for several days, piling up",Municipality,Medium
vector-borne disease indication requiring intervention and control Please take action,Health Department,Medium
Reported: routine traffic sign maintenance required,Police/Traffic,Low
Reported: critical water scarcity affecting hospital and homes,Water,High
minor crack in transformer box,Electricity,Low
asphalt patch needed on side street,PWD,Low
"robbery incident on main street, criminal still at large Please take action",Police/Traffic,High
clinic needs equipment calibration,Health Department,Low
traffic signal light needs cleaning from dust,Police/Traffic,Low
Reported: emergency traffic situation with multiple vehicle collision,Police/Traffic,High
parking space marking needs clarification,Police/Traffic,Low
critical waste management crisis threatening public health,Municipality,High
Reported: emergency traffic situation with multiple vehicle collision,Police/Traffic,High
sidewalk broken making it difficult for elderly and disabled,PWD,Medium
molestation incident reported by female citizen,Police/Traffic,High
sanitation training program for food vendors,Health Department,Low
"light pole slightly tilted, needs straightening",Electricity,Low
Reported: emergency light needs battery replacement,Fire,Low
open dumping of waste creating health hazard in residential area,Municipality,High
accident with multiple injuries and vehicles involved,Police/Traffic,High
critical disease outbreak requiring emergency response,Health Department,High
"robbery incident on main street, criminal still at large",Police/Traffic,High
vector-borne disease indication requiring intervention and control,Health Department,Medium
voltage fluctuations damaging household appliances,Electricity,Medium
routine traffic sign maintenance required,Police/Traffic,Low
traffic noise pollution from horn usage,Police/Traffic,Medium
"water supply irregular, only few hours daily",Water,Medium
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
chemical fire in warehouse area Please take action,Fire,High
critical fire emergency requiring immediate response Please take action,Fire,High
health awareness poster placement needed,Health Department,Low
clinic needs equipment calibration,Health Department,Low
road needs repainting of lane markings,PWD,Low
fire hazard condition needing urgent attention and inspection,Fire,Medium
Reported: broken sidewalk creating walking hazard for citizens,PWD,Medium
live wire hanging near the main road causing electric shock hazard,Electricity,High
traffic sign damaged needs replacement Please take action,Police/Traffic,Low
health awareness poster placement needed,Health Department,Low
sparking from transformer in residential area near children,Electricity,High
water meter requires servicing and calibration,Water,Low
Reported: major water tank rupture flooding the area,Water,High
routine road marking and sign maintenance,PWD,Low
pickpocketing incidents in crowded market,Police/Traffic,Medium
Reported: minor crack in transformer box,Electricity,Low
Reported: street divider damaged after vehicle collision,PWD,Medium
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
traffic sign damaged needs replacement,Police/Traffic,Low
garbage piling requiring immediate cleanup action,Municipality,Medium
electrical burning smell in residential complex,Fire,Medium
health awareness poster placement needed,Health Department,Low
rash driving near school affecting student safety,Police/Traffic,Medium
"road marking faded, lines need repainting Please take action",Police/Traffic,Low
emergency health hazard affecting multiple people,Health Department,High
routine light repair and maintenance needed,Electricity,Low
emergency electrical hazard causing immediate danger,Electricity,High
overflowing dustbin on street creating smell,Municipality,Medium
Reported: minor pothole needs filling in residential street,PWD,Low
tree branches need pruning for maintenance,Municipality,Low
old water line needs replacement soon,Water,Low
Reported: fire safety training needed for staff,Fire,Low
Reported: severe garbage accumulation causing environmental and health emergency,Municipality,High
live wire hanging near this main road causing electric shock hazard,Electricity,High
accident with multiple injuries and vehicles involved,Police/Traffic,High
public toilet not functioning for community,Municipality,Medium
fire exit door needs repair in office,Fire,Low
pest infestation near food storage area,Health Department,Medium
routine traffic sign maintenance required,Police/Traffic,Low
road surface deteriorated with multiple cracks,PWD,Medium
pharmacy selling expired medicines illegally,Health Department,Medium
Reported: pickpocketing incidents in crowded market,Police/Traffic,Medium
Reported: park bench needs repainting and repair,Municipality,Low
severe explosion hazard threatening surrounding buildings,Fire,High
voltage fluctuations damaging household appliances,Electricity,Medium
fire equipment maintenance and inspection due,Fire,Low
water tank requires paint refreshing,Water,Low
"vehicle theft reported, urgent investigation needed Please take action",Police/Traffic,High
parking space marking needs clarification Please take action,Police/Traffic,Low
emergency sewage overflow creating hazardous condition,Water,High
malaria cases reported in residential area,Health Department,Medium
critical live wire exposure threatening public safety,Electricity,High
water pressure very low in residential area,Water,Medium
power supply irregular & unstable in area,Water,Medium
fire safety signage needs replacement in mall,Fire,Low
smoke coming from basement of office building,Fire,Medium
fire hazard condition needing urgent attention & inspection,Fire,Medium
critical crime incident requiring immediate response,Police/Traffic,High
stolen two wheeler reported in the area Please take action,Police/Traffic,Medium
severe subsidence on road near government building,PWD,High
fire safety audit failing in commercial area Please take action,Fire,Medium
Reported: broken water tap wasting precious water resource,Water,Medium
slight discoloration in drinking water,Water,Medium
"bridge foundation showing cracks, structural integrity at risk",PWD,High
emergency light needs battery replacement Please take action,Fire,Low
emergency electrical hazard causing immediate danger Please take action,Electricity,High
fire safety signage needs replacement in mall Please take action,Fire,Low
traffic noise pollution from horn usage,Police/Traffic,Medium
routine light repair and maintenance needed,Electricity,Low
health checkup camp scheduling needed,Health Department,Low
electrical burning smell in residential complex Please take action,Fire,Medium
Reported: water leakage from main pipeline affecting entire neighborhood,Water,High
Reported: public area beautification needed,Municipality,Low
water tank needs paint refreshing,Water,Low
illegal construction on public land,Municipality,High
Reported: gas cylinder blast in residential building,Fire,High
fire exit door needs repair in office,Fire,Low
Reported: tree branches hanging dangerously near road,Municipality,Medium
fire safety audit failing in commercial area,Fire,Medium
traffic signal light needs cleaning from dust,Police/Traffic,Low
smoke coming from basement of office building Please take action,Fire,Medium
accident with multiple injuries & vehicles involved,Police/Traffic,High
chemical fire in warehouse locality,Fire,High
critical water scarcity affecting hospital and homes,Water,High
Reported: emergency electrical hazard causing immediate danger,Electricity,High
traffic signal light needs cleaning from dust Please take action,Police/Traffic,Low
Reported: encroachment blocking main road affecting public access,Municipality,High
contaminated water supply causing health issues,Water,High
fire extinguisher not available in government building,Fire,Medium
fire alarm system not working in hospital,Fire,Medium
water supply stopped for more than 48 hours,Water,High
overflowing dustbin on street creating smell Please take action,Municipality,Medium
broken water tap wasting precious water resource,Water,Medium
major water tank rupture flooding the area,Water,High
gas cylinder blast in residential building,Fire,High
unhygienic food preparation in restaurant causing health risk,Health Department,High
tree branches hanging dangerously near road,Municipality,Medium
fire equipment maintenance and inspection due,Fire,Low
illegal construction on public land,Municipality,High
minor pothole needs filling in residential street,PWD,Low
explosion near petrol pump causing severe damage,Fire,High
traffic violation with vehicles breaking red light,Police/Traffic,Medium
minor crack in transformer box,Electricity,Low
mosquito breeding requiring immediate pest control action,Health Department,Medium
routine park maintenance and beautification required,Municipality,Low
vector-borne disease indication requiring intervention and control Please take action,Health Department,Medium
water pipe partially damaged causing wastage Please take action,Water,Medium
traffic congestion due to signal malfunction immediately needs fix,Police/Traffic,Medium
illegal construction on public land Please take action,Municipality,High
dangerous high voltage transformer sparking dangerously,Electricity,High
routine fire safety equipment maintenance needed,Fire,Low
smoke coming from basement of office building Please take action,Fire,Medium
illegal construction on public land,Municipality,High
traffic noise pollution from horn usage,Police/Traffic,Medium
dangerous accident with severe injuries & casualties,Police/Traffic,High
Reported: live wire hanging near the main road causing electric shock hazard,Electricity,High
Reported: minor crack in transformer box,Electricity,Low
parking space marking needs clarification,Police/Traffic,Low
water leakage from main pipeline affecting entire neighborhood,Water,High
road needs regular maintenance and sweeping,PWD,Low
Reported: street sign faded needs repainting,PWD,Low
traffic violation with vehicles breaking red light,Police/Traffic,Medium
fire equipment maintenance and inspection due Please take action,Fire,Low
critical live wire exposure threatening public safety,Electricity,High
asphalt patch needed on side street,PWD,Low
Reported: sewage overflow in residential area causing disease outbreak,Water,High
emergency encroachment blocking essential services and access Please take action,Municipality,High
health checkup camp scheduling needed,Health Department,Low
Reported: garbage accumulation causing disease outbreak,Municipality,High
street cleaning not done for weeks,Municipality,Medium
routine park maintenance and beautification required,Municipality,Low
critical live wire exposure threatening public safety Please take action,Electricity,High
minor pothole needs filling in residential street,PWD,Low
"helmet not used by riders, awareness campaign needed Please take action",Police/Traffic,Low
health center needs routine inspection & maintenance,Health Department,Low
Reported: street sign faded needs repainting,PWD,Low
road completely damaged affecting vehicle movement,PWD,High
critical fire emergency requiring immediate response,Fire,High
routine park maintenance and beautification required,Municipality,Low
water tap handle broken needs fixing,Water,Low
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
minor electrical maintenance required,Electricity,Low
emergency fire situation with potential casualties Please take action,Fire,High
"assault case reported, victim in critical condition",Police/Traffic,High
electric pole fallen and live wires on ground floor,Electricity,High
sparking from transformer in residential area near children,Electricity,High
Reported: routine park maintenance and beautification required,Municipality,Low
fire safety audit failing in commercial area,Fire,Medium
encroachment issue needing removal and enforcement action,Municipality,Medium
unhygienic food preparation in restaurant causing health risk,Health Department,High
Reported: electricity meter not recording consumption properly,Electricity,Medium
frequent power tripping affecting daily operations,Electricity,Medium
fire safety training needed for staff,Fire,Low
encroachment blocking main road affecting public access,Municipality,High
tree branches hanging dangerously near road,Municipality,Medium
water tap handle broken needs fixing,Water,Low
park fence needs minor repair and maintenance,Municipality,Low
multiple potholes on street requiring immediate repair,PWD,Medium
routine water maintenance scheduled Please take action,Water,Low
fire exit door needs repair in office,Fire,Low
unhygienic food preparation in restaurant causing health risk,Health Department,High
health awareness poster placement needed,Health Department,Low
slight discoloration in drinking water,Water,Medium
traffic signal malfunctioning at busy intersection causing congestion Please take action,Police/Traffic,Medium
clinic needs equipment calibration,Health Department,Low
water pipe partially damaged causing wastage,Water,Medium
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
water tap handle broken needs fixing,Water,Low
Reported: water tap handle broken needs fixing,Water,Low
critical water scarcity affecting hospital and homes,Water,High
Reported: road needs regular maintenance and sweeping,PWD,Low
critical fire emergency requiring immediate response,Fire,High
Reported: minor electrical maintenance required,Electricity,Low
emergency encroachment blocking essential services and access,Municipality,High
minor crack in transformer box,Electricity,Low
routine water maintenance scheduled,Water,Low
Reported: street light needs new bulb replacement,Electricity,Low
Reported: public area beautification needed,Municipality,Low
Reported: minor crack in transformer box,Electricity,Low
pest infestation near food storage area,Health Department,Medium
"assault case reported, victim in critical condition",Police/Traffic,High
asphalt patch needed on side street,PWD,Low
fire safety audit failing in commercial area,Fire,Medium
health hazard due to animals and insects present nearby,Health Department,Medium
power outage in hospital during emergency situation Please take action,Electricity,High
Reported: routine park maintenance and beautification required,Municipality,Low
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
burning smell indicating possible fire risk in building,Fire,Medium
severe food contamination causing widespread illness urgently,Health Department,High
traffic accident with fatality near school Please take action,Police/Traffic,High
routine health facility maintenance required Please take action,Health Department,Low
road needs regular maintenance and sweeping Please take action,PWD,Low
fire equipment maintenance and inspection due,Fire,Low
Reported: illegal billboard obstruction on public path,Municipality,Medium
emergency sewage overflow creating hazardous condition Please take action,Water,High
routine water maintenance scheduled,Water,Low
traffic violation with vehicles breaking red light,Police/Traffic,Medium
water meter needs servicing and calibration,Water,Low
open dumping of waste creating health hazard in residential area,Municipality,High
frequent power tripping affecting daily operations Please take action,Electricity,Medium
encroachment blocking main road affecting public access,Municipality,High
stolen two wheeler reported in this area,Police/Traffic,Medium
tree branches need pruning for maintenance,Municipality,Low
"Reported: garbage not collected for several days, piling up",Municipality,Medium
multiple potholes on street requiring immediate repair,PWD,Medium
Reported: stagnant water accumulating due to pipe blockage,Water,Medium
road needs repainting of lane markings,PWD,Low
dangling wires on telephone poles creating hazard,Electricity,Medium
"light pole slightly tilted, needs straightening",Electricity,Low
road requires regular maintenance and sweeping,PWD,Low
unhygienic food preparation in restaurant causing health risk Please take action,Health Department,High
manhole cover missing creating dangerous pit,PWD,High
Reported: critical live wire exposure threatening public safety,Electricity,High
broken electric meter near market area,Electricity,Medium
explosion near petrol pump causing severe damage,Fire,High
street sign installation for park entrance,Municipality,Low
tree branches hanging dangerously near road,Municipality,Medium
"bridge foundation showing cracks, structural integrity at risk",PWD,High
molestation incident reported by female citizen,Police/Traffic,High
pest infestation near food storage area,Health Department,Medium
illegal billboard obstruction on public path,Municipality,Medium
Reported: minor electrical maintenance required,Electricity,Low
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
Reported: water meter needs servicing and calibration,Water,Low
water tank maintenance not done for months,Water,Medium
accident with multiple injuries and vehicles involved,Police/Traffic,High
clinic needs equipment calibration,Health Department,Low
"Reported: mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
water pressure very low in residential area,Water,Medium
old water line needs replacement soon,Water,Low
"assault case reported, victim in critical condition Please take action",Police/Traffic,High
multiple potholes on street requiring immediate repair,PWD,Medium
Reported: asphalt patch needed on side street,PWD,Low
road requires regular maintenance and sweeping,PWD,Low
pharmacy selling expired medicines illegally,Health Department,Medium
parking space marking needs clarification,Police/Traffic,Low
damaged transformer needs immediate maintenance and fixing,Electricity,Medium
"Reported: dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
dangerous high voltage transformer sparking dangerously,Electricity,High
critical disease outbreak requiring emergency response,Health Department,High
Reported: road needs repainting of lane markings,PWD,Low
minor water pipe repair needed at street corner,Water,Low
minor pothole needs filling in residential street,PWD,Low
emergency encroachment blocking essential services and access Please take action,Municipality,High
routine light repair and maintenance needed,Electricity,Low
"road marking faded, lines need repainting Please take action",Police/Traffic,Low
"water supply irregular, only few hours daily",Water,Medium
fire safety signage needs replacement in mall Please take action,Fire,Low
pharmacy selling expired medicines illegally Please take action,Health Department,Medium
frequent power tripping affecting daily operations,Electricity,Medium
critical disease outbreak requiring emergency response,Health Department,High
Reported: frequent power tripping affecting daily operations,Electricity,Medium
water supply stopped for more than 48 hours,Water,High
Reported: fire safety signage needs replacement in mall,Fire,Low
electrical wire partially damaged needs immediate repair,Electricity,Medium
Reported: sidewalk broken making it difficult for elderly and disabled,PWD,Medium
dangling wires on telephone poles creating hazard Please take action,Electricity,Medium
emergency sewage overflow creating hazardous condition,Water,High
concrete pavement crumbling near market,PWD,Medium
fire exit door requires repair in office,Fire,Low
severe garbage accumulation causing environmental and health emergency Please take action,Municipality,High
street sign installation for park entrance,Municipality,Low
critical road damage causing traffic accident risk,PWD,High
Reported: road needs regular maintenance and sweeping,PWD,Low
street light not working on main road for 3 weeks,Electricity,Medium
dangling wires on telephone poles creating hazard,Electricity,Medium
accident with multiple injuries and vehicles involved,Police/Traffic,High
gas cylinder blast in residential building,Fire,High
power supply irregular and unstable in area,Electricity,Medium
street sign faded needs repainting,PWD,Low
gas cylinder blast in residential building,Fire,High
road needs repainting of lane markings Please take action,PWD,Low
electricity meter not recording consumption properly Please take action,Electricity,Medium
broken water tap wasting precious water resource,Water,Medium
accident with multiple injuries and vehicles involved,Police/Traffic,High
major water tank rupture flooding the locality,Water,High
major water tank rupture flooding the area,Water,High
manhole cover missing creating dangerous pit Please take action,PWD,High
health awareness poster placement needed,Health Department,Low
pest control needed for rat infestation urgently,Health Department,Medium
park bench needs repainting & repair,Municipality,Low
fire extinguisher not available in government building,Fire,Medium
Reported: sanitation training program for food vendors,Health Department,Low
clinic needs equipment calibration Please take action,Health Department,Low
traffic signal light needs cleaning from dust,Police/Traffic,Low
water meter needs servicing and calibration,Water,Low
road completely damaged affecting vehicle movement,PWD,High
fire alarm system not working in hospital,Fire,Medium
fire extinguisher not available in government building Please take action,Fire,Medium
illegal construction on public l&,Municipality,High
water meter needs servicing and calibration,Water,Low
Reported: vehicle collision on road needing intervention,Police/Traffic,Medium
sparking from transformer in residential area near children,Electricity,High
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
contaminated water supply causing health issues Please take action,Water,High
electricity meter not recording consumption properly,Electricity,Medium
critical waste management crisis threatening public health,Municipality,High
traffic signal light needs cleaning from dust,Police/Traffic,Low
fire equipment maintenance and inspection due,Fire,Low
stagnant water accumulating due to pipe blockage,Water,Medium
Reported: major pothole on main road causing accidents and vehicle damage,PWD,High
manhole cover missing creating dangerous pit,PWD,High
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
major water tank rupture flooding the area Please take action,Water,High
broken water tap wasting precious water resource,Water,Medium
emergency light needs battery replacement,Fire,Low
fire in dense residential locality threatening multiple buildings,Fire,High
illegal construction on public land,Municipality,High
loose connection at transformer causing sparks intermittently,Electricity,Medium
live wire hanging near the main road causing electric shock hazard Please take action,Electricity,High
Reported: fire safety training needed for staff,Fire,Low
street sign faded needs repainting,PWD,Low
